YJM1078	CP004099
YJM1083	CP004444
YJM1129	CP004445
YJM1133	CP004446
YJM1190	CP004447
YJM1199	CP004448
YJM1202	CP004449
YJM1208	CP004450
YJM1242	CP004451
YJM1244	CP004452
YJM1248	CP004453
YJM1250	CP004454
YJM1252	CP004455
YJM1273	CP004456
YJM1304	CP004457
YJM1307	CP004458
YJM1311	CP004459
YJM1326	CP004460
YJM1332	CP004461
YJM1336	CP004462
YJM1338	CP004463
YJM1341	CP004464
YJM1342	CP004465
YJM1355	CP004466
YJM1356	CP004467
YJM1381	CP004468
YJM1383	CP004469
YJM1385	CP004470
YJM1386	CP004471
YJM1387	CP004472
YJM1388	CP004473
YJM1389	CP004474
YJM1399	CP004475
YJM1400	CP004476
YJM1401	CP004477
YJM1402	CP004478
YJM1415	CP004479
YJM1417	CP004480
YJM1418	CP004481
YJM1419	CP004482
YJM1433	CP004483
YJM1434	CP004484
YJM1439	CP004485
YJM1443	CP004486
YJM1444	CP004487
YJM1447	CP004488
YJM1450	CP004489
YJM1460	CP004490
YJM1463	CP004491
YJM1477	CP004492
YJM1478	CP004493
YJM1479	CP004494
YJM1526	CP004495
YJM1527	CP004496
YJM1549	CP004497
YJM1573	CP004498
YJM1574	CP004499
YJM1592	CP004500
YJM1615	CP004501
YJM189	CP004410
YJM193	CP004411
YJM195	CP004412
YJM244	CP004413
YJM248	CP004414
YJM270	CP004415
YJM271	CP004416
YJM320	CP004417
YJM326	CP004418
YJM428	CP004419
YJM450	CP004420
YJM451	CP004421
YJM453	CP004422
YJM456	CP004423
YJM470	CP004424
YJM541	CP004425
YJM554	CP004426
YJM555	CP004427
YJM627	CP004428
YJM681	CP004429
YJM682	CP004430
YJM683	CP004431
YJM689	CP004432
YJM693	CP004433
YJM969	CP004434
YJM972	CP004435
YJM975	CP004436
YJM978	CP004437
YJM981	CP004438
YJM984	CP004439
YJM987	CP004440
YJM990	CP004441
YJM993	CP004442
YJM996	CP004443
S288c   NC_001133
